,Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR,Sector_1,Region_1,Operation_Type,Stage,Approval
63,Q1 2020,2020,BO-L9998B,B,3.Substantial,Partially Satisfactory,LATAM,SCL,SCL,LATAM,Loan Operation,Fully Disbursed,01/25/17
64,Q1 2020,2020,BO-L9999,B13,3.Substantial,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,11/08/2017
65,Q1 2020,2020,BO-L9999B,B,3.Substantial,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation Closed,06/27/18
66,Q1 2020,2020,BO-X9092,B,4.High,Partially Satisfactory,LATAM,CSD,CSD,LATAM,Investment Grants,Operation in Disbursing,09/11/2019
67,Q1 2020,2020,CH-G9005,C,2.Moderate,{Not Set},NAC,INE,INE,NAC,Investment Grants,Operation Closed,12/09/2020
68,Q1 2020,2020,CH-L9084,B,2.Moderate,{Not Set},NAC,CSD,CSD,NAC,Loan Operation,Operation in Disbursing,03/14/19
69,Q1 2020,2020,CH-L9085,C,1.Low,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Operation in Disbursing,10/27/20
70,Q1 2020,2020,CH-L9089,B13,1.Low,{Not Set},NAC,SCL,SCL,NAC,Loan Operation,Fully Disbursed,11/19/14
71,Q1 2020,2020,CH-L9095,B13,1.Low,{Not Set},NAC,SCL,SCL,NAC,Loan Operation,Operation Closed,10/21/15
72,Q1 2020,2020,CH-L9098,B13,2.Moderate,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Fully Disbursed,05/25/16
73,Q1 2020,2020,CH-L9905,C,1.Low,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Operation Closed,12/06/2017
74,Q1 2020,2020,CH-L9938,C,1.Low,{Not Set},NAC,INT,INT,NAC,Loan Operation,Operation in Disbursing,06/07/2019
75,Q1 2020,2020,CH-L9942,C,1.Low,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Operation in Disbursing,07/30/19
76,Q1 2020,2020,CH-L9945,B13,1.Low,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Operation in Disbursing,06/19/20
77,Q1 2020,2020,CH-L9948,B13,1.Low,{Not Set},NAC,IFD,IFD,NAC,Loan Operation,Operation in Disbursing,12/02/2015
78,Q1 2020,2020,CH-X9007,C,2.Moderate,{Not Set},NAC,INE,INE,NAC,Investment Grants,Operation in Disbursing,11/02/2011
79,Q1 2020,2020,CR-G9004,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation Closed,11/07/2012
80,Q1 2020,2020,CR-G9006,C,1.Low,{Not Set},AAN,INT,INT,AAN,Investment Grants,Operation in Disbursing,12/05/2012
81,Q1 2020,2020,CR-L9024,B,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,06/26/13
82,Q1 2020,2020,CR-L9032,B,3.Substantial,Partially Unsatisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,11/01/2012
83,Q1 2020,2020,CR-L9043,C,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/02/2015
84,Q1 2020,2020,CR-L9049,A,3.Substantial,Partially Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation Closed,02/12/2014
85,Q1 2020,2020,CR-L9053,B,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/27/13
86,Q1 2020,2020,CR-L9065,B,2.Moderate,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,12/11/2014
87,Q1 2020,2020,CR-L9066,B,3.Substantial,Partially Satisfactory,AAN,INT,INT,AAN,Loan Operation,Operation in Disbursing,09/16/15
88,Q1 2020,2020,CR-L9070,A,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,09/09/2015
89,Q1 2020,2020,CR-L9937,B,2.Moderate,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,09/21/15
90,Q1 2020,2020,CR-L9939,B,3.Substantial,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,06/30/16
91,Q1 2020,2020,CR-L9942,B13,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation Closed,09/01/2016
92,Q1 2020,2020,CR-X9009,B,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Investment Grants,Operation in Disbursing,09/07/2016
93,Q1 2020,2020,DR-G0002,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation in Disbursing,11/30/16
94,Q1 2020,2020,DR-L9049,B,1.Low,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,11/15/17
95,Q1 2020,2020,DR-L9053,B,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/22/17
96,Q1 2020,2020,DR-L9057,B,2.Moderate,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,10/24/18
97,Q1 2020,2020,DR-L9067,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Fully Disbursed,09/26/18
98,Q1 2020,2020,DR-L9068,B13,2.Moderate,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,05/29/20
99,Q1 2020,2020,DR-L9069,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Fully Disbursed,07/22/20
100,Q1 2020,2020,DR-L9080,B,3.Substantial,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,07/31/14
101,Q1 2020,2020,DR-L9084,B,3.Substantial,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,03/12/2018
102,Q1 2020,2020,DR-L9922,B,3.Substantial,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,06/27/13
103,Q1 2020,2020,DR-L9927,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/07/2012
104,Q1 2020,2020,DR-L9928,B,3.Substantial,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,05/01/2014
105,Q1 2020,2020,DR-L9932,B13,1.Low,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,03/10/2010
106,Q1 2020,2020,DR-L9934,B13,4.High,Partially Satisfactory,AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,10/24/13
107,Q1 2020,2020,DR-L9935,B,4.High,Partially Satisfactory,AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,06/25/12
108,Q1 2020,2020,DR-L9937,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,11/23/11
109,Q1 2020,2020,DR-L9997,C,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,02/27/13
110,Q1 2020,2020,DR-X9005,B,2.Moderate,{Not Set},AAN,INE,INE,AAN,Investment Grants,Operation in Disbursing,12/12/2012
111,Q1 2020,2020,EC-G9009,C,2.Moderate,{Not Set},LATAM,INE,INE,LATAM,Investment Grants,Operation in Disbursing,05/01/2013
112,Q1 2020,2020,EC-L9076,B,3.Substantial,Partially Satisfactory,LATAM,SCL,SCL,LATAM,Loan Operation,Operation Closed,11/20/13
113,Q1 2020,2020,EC-L9223,B,3.Substantial,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,07/24/13
114,Q1 2020,2020,EC-L9227,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,07/03/2014
115,Q1 2020,2020,EC-L9229,C,1.Low,{Not Set},LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,12/15/14
116,Q1 2020,2020,EC-L9230,B13,3.Substantial,Partially Satisfactory,LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,10/22/14
117,Q1 2020,2020,EC-L9235,C,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,12/16/13
118,Q1 2020,2020,EC-L9236,C,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,12/13/13
119,Q1 2020,2020,EC-L9239,B,3.Substantial,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/15/14
120,Q1 2020,2020,EC-L9242,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,05/31/13
121,Q1 2020,2020,EC-L9243,C,1.Low,{Not Set},LATAM,INT,INT,LATAM,Loan Operation,Operation in Disbursing,09/17/14
122,Q1 2020,2020,EC-L9245,B13,2.Moderate,{Not Set},LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,07/30/14
123,Q1 2020,2020,EC-L9248,B,2.Moderate,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/16/14
124,Q1 2020,2020,EC-L9249,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,09/03/2014
125,Q1 2020,2020,EC-L9250,C,2.Moderate,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,07/27/16
126,Q1 2020,2020,EC-L9252,B13,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,12/17/14
127,Q1 2020,2020,EC-L9257,B13,3.Substantial,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/17/14
128,Q1 2020,2020,EC-L9258,C,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,07/13/16
129,Q1 2020,2020,EC-L9259,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,01/09/2019
130,Q1 2020,2020,EC-L9299,B,3.Substantial,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,10/26/18
131,Q1 2020,2020,EC-L9920,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,09/21/17
132,Q1 2020,2020,EC-L9922,B,1.Low,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/13/17
133,Q1 2020,2020,EC-L9924,A,3.Substantial,Partially Unsatisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,09/27/17
134,Q1 2020,2020,EC-L9925,B,2.Moderate,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/01/2017
135,Q1 2020,2020,EC-L9929,B,2.Moderate,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,11/22/17
136,Q1 2020,2020,EC-L9947,B,3.Substantial,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,09/28/18
137,Q1 2020,2020,EC-L9955,C,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,12/15/17
138,Q1 2020,2020,EC-L9960,B,1.Low,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/15/17
139,Q1 2020,2020,EC-L9992,B,2.Moderate,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/15/17
140,Q1 2020,2020,EC-L9996,B,1.Low,{Not Set},LATAM,INT,INT,LATAM,Loan Operation,Fully Disbursed,12/08/2017
141,Q1 2020,2020,EC-L9997,B,3.Substantial,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/28/18
142,Q1 2020,2020,EC-L9999,A,3.Substantial,Partially Unsatisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,08/30/18
143,Q1 2020,2020,EC-L9999B,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,12/06/2018
144,Q1 2020,2020,EC-U0009,B13,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Grant Financing Product,Operation in Disbursing,01/23/19
145,Q1 2020,2020,ES-G9003,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Fully Disbursed,10/24/18
146,Q1 2020,2020,ES-G9004,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation in Disbursing,11/14/18
147,Q1 2020,2020,ES-L9025,B,2.Moderate,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/16/20
148,Q1 2020,2020,ES-L9066,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,12/06/2019
149,Q1 2020,2020,ES-L9075,B,2.Moderate,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,01/15/20
150,Q1 2020,2020,ES-L9095,B,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,12/14/18
151,Q1 2020,2020,ES-L9096,B,3.Substantial,Partially Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,12/14/18
152,Q1 2020,2020,ES-L9932,B13,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/18/19
153,Q1 2020,2020,ES-L9935,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,01/15/20
154,Q1 2020,2020,ES-L9936,B13,2.Moderate,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/18/19
155,Q1 2020,2020,ES-L9939,C,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/18/19
156,Q1 2020,2020,GY-G9004,C,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Investment Grants,Operation in Disbursing,10/23/20
157,Q1 2020,2020,GY-L9028,B,2.Moderate,{Not Set},CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,10/09/2020
158,Q1 2020,2020,GY-L9039,B,3.Substantial,Satisfactory,CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,12/16/15
159,Q1 2020,2020,GY-L9040,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,10/21/15
160,Q1 2020,2020,GY-L9042,C,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,10/22/14
161,Q1 2020,2020,GY-L9044,C,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,05/11/2016
162,Q1 2020,2020,GY-L9049,C,3.Substantial,Partially Unsatisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/08/2017
163,Q1 2020,2020,GY-L9058,B,3.Substantial,Partially Satisfactory,CAR,SCL,SCL,CAR,Loan Operation,Operation in Disbursing,11/06/2019
164,Q1 2020,2020,GY-L9059,B,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,09/17/19
165,Q1 2020,2020,GY-L9060,A,3.Substantial,Partially Satisfactory,CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,12/18/19
166,Q1 2020,2020,GY-L9064,C,1.Low,{Not Set},CAR,INT,INT,CAR,Loan Operation,Operation in Disbursing,06/24/20
167,Q1 2020,2020,GY-L9066,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/01/2012
168,Q1 2020,2020,GY-X9002,C,3.Substantial,Partially Unsatisfactory,CAR,INE,INE,CAR,Investment Grants,Operation in Disbursing,08/01/2019
169,Q1 2020,2020,GY-X9003,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Investment Grants,Operation in Disbursing,03/11/2020
170,Q1 2020,2020,HA-G9022,B,3.Substantial,Partially Satisfactory,AAN,INE,INE,AAN,Investment Grants,Fully Disbursed,12/09/2020
171,Q1 2020,2020,HA-G9023,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Investment Grants,Operation in Disbursing,12/11/2019
172,Q1 2020,2020,HA-G9036,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Investment Grants,Operation in Disbursing,12/09/2020
173,Q1 2020,2020,HA-G9038,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Investment Grants,Fully Disbursed,12/11/2019
174,Q1 2020,2020,HA-G9039,B,3.Substantial,Partially Unsatisfactory,AAN,CSD,CSD,AAN,Investment Grants,Fully Disbursed,12/02/2020
175,Q1 2020,2020,HA-G9045,B,4.High,{Not Set},AAN,INE,INE,AAN,Investment Grants,Operation in Disbursing,09/14/11
176,Q1 2020,2020,HA-G9049,B,1.Low,{Not Set},AAN,CSD,CSD,AAN,Investment Grants,Operation in Disbursing,06/06/2012
177,Q1 2020,2020,HA-L9032,B,2.Moderate,Partially Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,12/04/2013
178,Q1 2020,2020,HA-L9038,B,2.Moderate,Partially Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,09/12/2013
179,Q1 2020,2020,HA-L9048,B,2.Moderate,Partially Unsatisfactory,AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,11/25/15
180,Q1 2020,2020,HA-L9050,B13,3.Substantial,Partially Unsatisfactory,AAN,IFD,IFD,AAN,Loan Operation,Operation Closed,11/30/15
181,Q1 2020,2020,HA-L9057,C,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,12/02/2016
182,Q1 2020,2020,HA-L9058,B,3.Substantial,Partially Unsatisfactory,AAN,INE,INE,AAN,Loan Operation,Operation Closed,12/01/2017
183,Q1 2020,2020,HA-L9075,B,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,11/15/19
184,Q1 2020,2020,HA-L9076,A,4.High,Unsatisfactory,AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,12/13/17
185,Q1 2020,2020,HA-L9077,B,3.Substantial,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Fully Disbursed,07/31/18
186,Q1 2020,2020,HA-L9079,B,4.High,Partially Unsatisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,12/04/2019
187,Q1 2020,2020,HA-L9080,B,3.Substantial,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,12/09/2020
