,index,id_project_x,Quarter2_y,0.Not Rated,1.Low,2.Moderate,3.Substantial,4.High,Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR,Sector_1,Region_1,Operation_Type,Stage,Approval,Quarter2
92,59,SU-L9055,Q4,,,,3,,Q4 2019,2019,SU-L9055,B,4.High,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/30/18,Q4
93,59,SU-L9055,Q4,,,,3,,Q4 2020,2020,SU-L9055,B,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/30/18,Q4
101,64,TT-L9042,Q1,,,2,,,Q1 2020,2020,TT-L9042,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,12/03/2014,Q1
102,64,TT-L9042,Q1,,,2,,,Q1 2021,2021,TT-L9042,C,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,12/03/2014,Q1
103,65,TT-L9042,Q4,,1,,,,Q4 2018,2018,TT-L9042,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,12/03/2014,Q4
104,65,TT-L9042,Q4,,1,,,,Q4 2019,2019,TT-L9042,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,12/03/2014,Q4
105,65,TT-L9042,Q4,,1,,,,Q4 2020,2020,TT-L9042,C,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,12/03/2014,Q4
118,75,US-L9335,Q1,,,,,4,Q1 2020,2020,US-L9335,B,3.Substantial,{Not Set},NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/14/18,Q1
119,75,US-L9335,Q1,,,,,4,Q1 2021,2021,US-L9335,B,4.High,Partially Satisfactory,NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/14/18,Q1
120,76,US-L9335,Q4,,,,3,,Q4 2018,2018,US-L9335,B,2.Moderate,{Not Set},NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/14/18,Q4
121,76,US-L9335,Q4,,,,3,,Q4 2019,2019,US-L9335,B,3.Substantial,{Not Set},NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/14/18,Q4
122,76,US-L9335,Q4,,,,3,,Q4 2020,2020,US-L9335,B,4.High,Partially Satisfactory,NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/14/18,Q4
130,82,US-L9997,Q1,,,,,4,Q1 2020,2020,US-L9997,B,4.High,Partially Satisfactory,NAC,CSD,CSD,NAC,Loan Operation,Fully Disbursed,10/13/15,Q1
131,82,US-L9997,Q1,,,,,4,Q1 2021,2021,US-L9997,B,3.Substantial,Partially Satisfactory,NAC,CSD,CSD,NAC,Loan Operation,Fully Disbursed,10/13/15,Q1
132,83,US-L9997,Q4,,,,3,,Q4 2018,2018,US-L9997,B,3.Substantial,{Not Set},NAC,CSD,CSD,NAC,Loan Operation,Fully Disbursed,10/13/15,Q4
133,83,US-L9997,Q4,,,,3,,Q4 2019,2019,US-L9997,B,4.High,Partially Satisfactory,NAC,CSD,CSD,NAC,Loan Operation,Fully Disbursed,10/13/15,Q4
134,83,US-L9997,Q4,,,,3,,Q4 2020,2020,US-L9997,B,3.Substantial,Partially Satisfactory,NAC,CSD,CSD,NAC,Loan Operation,Fully Disbursed,10/13/15,Q4
