Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR
Q1 2020,2020,BO-X9092,B,4.High,Partially Satisfactory,LATAM,CSD
Q1 2020,2020,CH-G9005,C,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,CH-L9084,B,2.Moderate,{Not Set},NAC,CSD
Q1 2020,2020,CH-L9085,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,CH-L9089,B13,1.Low,{Not Set},NAC,SCL
Q1 2020,2020,CH-L9095,B13,1.Low,{Not Set},NAC,SCL
Q1 2020,2020,CH-L9098,B13,2.Moderate,{Not Set},NAC,IFD
Q1 2020,2020,CH-L9905,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,CH-L9938,C,1.Low,{Not Set},NAC,INT
Q1 2020,2020,CH-L9942,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,CH-L9945,B13,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,CH-L9948,B13,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,CH-X9007,C,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,CR-G9004,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,CR-G9006,C,1.Low,{Not Set},AAN,INT
Q1 2020,2020,CR-L9024,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,CR-L9032,B,3.Substantial,Partially Unsatisfactory,AAN,INE
Q1 2020,2020,CR-L9043,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,CR-L9049,A,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,CR-L9053,B,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,CR-L9065,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,CR-L9066,B,3.Substantial,Partially Satisfactory,AAN,INT
Q1 2020,2020,CR-L9070,A,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,CR-L9937,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,CR-L9939,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,CR-L9942,B13,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,CR-X9009,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,DR-G0002,C,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9049,B,1.Low,{Not Set},AAN,INE
Q1 2020,2020,DR-L9053,B,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9057,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,DR-L9067,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9068,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,DR-L9069,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9080,B,3.Substantial,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9084,B,3.Substantial,{Not Set},AAN,CSD
Q1 2020,2020,DR-L9922,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,DR-L9927,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,DR-L9928,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,DR-L9932,B13,1.Low,{Not Set},AAN,INE
Q1 2020,2020,DR-L9934,B13,4.High,Partially Satisfactory,AAN,CSD
Q1 2020,2020,DR-L9935,B,4.High,Partially Satisfactory,AAN,CSD
Q1 2020,2020,DR-L9937,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,DR-L9997,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,DR-X9005,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,EC-G9009,C,2.Moderate,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9076,B,3.Substantial,Partially Satisfactory,LATAM,SCL
Q1 2020,2020,EC-L9223,B,3.Substantial,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9227,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9229,C,1.Low,{Not Set},LATAM,CSD
Q1 2020,2020,EC-L9230,B13,3.Substantial,Partially Satisfactory,LATAM,IFD
Q1 2020,2020,EC-L9235,C,1.Low,{Not Set},LATAM,SCL
Q1 2020,2020,EC-L9236,C,1.Low,{Not Set},LATAM,SCL
Q1 2020,2020,EC-L9239,B,3.Substantial,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9242,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9243,C,1.Low,{Not Set},LATAM,INT
Q1 2020,2020,EC-L9245,B13,2.Moderate,{Not Set},LATAM,CSD
Q1 2020,2020,EC-L9248,B,2.Moderate,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9249,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9250,C,2.Moderate,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9252,B13,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9257,B13,3.Substantial,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9258,C,1.Low,{Not Set},LATAM,SCL
Q1 2020,2020,EC-L9259,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9299,B,3.Substantial,Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9920,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-L9922,B,1.Low,Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9924,A,3.Substantial,Partially Unsatisfactory,LATAM,INE
Q1 2020,2020,EC-L9925,B,2.Moderate,Partially Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9929,B,2.Moderate,{Not Set},LATAM,SCL
Q1 2020,2020,EC-L9947,B,3.Substantial,Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9955,C,1.Low,{Not Set},LATAM,SCL
Q1 2020,2020,EC-L9960,B,1.Low,{Not Set},LATAM,INE
Q1 2020,2020,EC-L9992,B,2.Moderate,Partially Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9996,B,1.Low,{Not Set},LATAM,INT
Q1 2020,2020,EC-L9997,B,3.Substantial,Satisfactory,LATAM,INE
Q1 2020,2020,EC-L9999,A,3.Substantial,Partially Unsatisfactory,LATAM,INE
Q1 2020,2020,EC-L9999B,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,EC-U0009,B13,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,ES-G9003,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,ES-G9004,C,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,ES-L9025,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ES-L9066,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,ES-L9075,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ES-L9095,B,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,ES-L9096,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,ES-L9932,B13,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,ES-L9935,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,ES-L9936,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ES-L9939,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,GY-G9004,C,3.Substantial,Satisfactory,CAR,INE
Q1 2020,2020,GY-L9028,B,2.Moderate,{Not Set},CAR,CSD
Q1 2020,2020,GY-L9039,B,3.Substantial,Satisfactory,CAR,CSD
Q1 2020,2020,GY-L9040,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,GY-L9042,C,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,GY-L9044,C,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,GY-L9049,C,3.Substantial,Partially Unsatisfactory,CAR,INE
Q1 2020,2020,GY-L9058,B,3.Substantial,Partially Satisfactory,CAR,SCL
Q1 2020,2020,GY-L9059,B,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,GY-L9060,A,3.Substantial,Partially Satisfactory,CAR,CSD
Q1 2020,2020,GY-L9064,C,1.Low,{Not Set},CAR,INT
Q1 2020,2020,GY-L9066,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,GY-X9002,C,3.Substantial,Partially Unsatisfactory,CAR,INE
Q1 2020,2020,GY-X9003,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,HA-G9022,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-G9023,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-G9036,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-G9038,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-G9039,B,3.Substantial,Partially Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-G9045,B,4.High,{Not Set},AAN,INE
Q1 2020,2020,HA-G9049,B,1.Low,{Not Set},AAN,CSD
Q1 2020,2020,HA-L9032,B,2.Moderate,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9038,B,2.Moderate,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9048,B,2.Moderate,Partially Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-L9050,B13,3.Substantial,Partially Unsatisfactory,AAN,IFD
Q1 2020,2020,HA-L9057,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,HA-L9058,B,3.Substantial,Partially Unsatisfactory,AAN,INE
Q1 2020,2020,HA-L9075,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,HA-L9076,A,4.High,Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-L9077,B,3.Substantial,Partially Satisfactory,AAN,SCL
Q1 2020,2020,HA-L9079,B,4.High,Partially Unsatisfactory,AAN,INE
Q1 2020,2020,HA-L9080,B,3.Substantial,Partially Satisfactory,AAN,SCL
Q1 2020,2020,HA-L9087,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-L9089,A,4.High,Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-L9089B,B,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9094,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-L9095,B,3.Substantial,Partially Satisfactory,AAN,CSD
Q1 2020,2020,HA-L9096,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-L9097,B,3.Substantial,Partially Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-L9098,A,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9099,A,4.High,Unsatisfactory,AAN,CSD
Q1 2020,2020,HA-L9900,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9903,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,HA-L9904,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,HA-L9906,A,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,HA-L9907,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HA-L9926,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,HA-L9933,C,1.Low,{Not Set},AAN,INT
Q1 2020,2020,HA-L9935,B,4.High,Satisfactory,AAN,INE
Q1 2020,2020,HA-L9937,C,3.Substantial,Partially Satisfactory,AAN,SCL
Q1 2020,2020,HA-L9939,C,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,HA-L9940,B,4.High,{Not Set},AAN,INE
Q1 2020,2020,HA-X9002,C,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,HO-G9006,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,HO-G9247,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,HO-G9248,C,2.Moderate,Satisfactory,AAN,SCL
Q1 2020,2020,HO-G9249,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-G9250,B,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-G9252,B,3.Substantial,{Not Set},AAN,CSD
Q1 2020,2020,HO-G9259,B,3.Substantial,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9037,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,HO-L9039,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,HO-L9069,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,HO-L9093,B,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9200,B,3.Substantial,{Not Set},AAN,CSD
Q1 2020,2020,HO-L9202,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9209,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9299,C,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9902,B,2.Moderate,Partially Satisfactory,AAN,INE
Q1 2020,2020,HO-L9904,B,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,HO-L9905,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9908,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9929,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,HO-L9979,B,3.Substantial,Partially Satisfactory,AAN,CSD
Q1 2020,2020,HO-L9986,B,4.High,{Not Set},AAN,INE
Q1 2020,2020,HO-L9987,B,3.Substantial,{Not Set},AAN,IFD
Q1 2020,2020,HO-L9988,C,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9994,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9995,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9997,B,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,HO-L9999,B,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,JA-G9002,C,1.Low,{Not Set},CAR,CSD
Q1 2020,2020,JA-G9003,B,1.Low,{Not Set},CAR,INE
Q1 2020,2020,JA-G9005,C,2.Moderate,{Not Set},CAR,SCL
Q1 2020,2020,JA-G9009,C,1.Low,{Not Set},CAR,CSD
Q1 2020,2020,JA-L9035,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,JA-L9043,C,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9046,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9048,C,1.Low,{Not Set},CAR,CSD
Q1 2020,2020,JA-L9049,B,2.Moderate,{Not Set},CAR,SCL
Q1 2020,2020,JA-L9053,C,1.Low,{Not Set},CAR,SCL
Q1 2020,2020,JA-L9056,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,JA-L9072,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9073,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9074,B,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9075,B13,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,JA-L9079,C,1.Low,{Not Set},CAR,SCL
Q1 2020,2020,JA-L9085,B13,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,JA-X9007,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,JK-G9005,B,3.Substantial,{Not Set},AAN,CSD
Q1 2020,2020,JK-G9007,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,JK-L9039,B,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,JK-L9087,B,3.Substantial,Satisfactory,AAN,SCL
Q1 2020,2020,JK-L9095,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,JK-L9096,B13,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,JK-L9963,B,3.Substantial,{Not Set},AAN,SCL
Q1 2020,2020,JK-L9965,B,3.Substantial,{Not Set},AAN,CSD
Q1 2020,2020,JK-L9969,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,JK-X9005,B13,3.Substantial,Partially Satisfactory,AAN,INE
Q1 2020,2020,ME-G9002,B13,3.Substantial,Satisfactory,AAN,IFD
Q1 2020,2020,ME-G9005,B13,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,ME-G9006,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ME-G9092,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,ME-L9256,B,1.Low,{Not Set},AAN,CSD
Q1 2020,2020,ME-L9258,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,ME-L9259,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ME-L9267,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,ME-L9284,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ME-L9290,B13,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,ME-L9942,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,ME-L9948,B13,3.Substantial,Satisfactory,AAN,IFD
Q1 2020,2020,ME-L9962,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,ME-L9976,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,ME-X9099,C,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,NI-G9002,B,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,NI-G9005,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,NI-G9006,A,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,NI-G9007,A,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,NI-G9008,A,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,NI-G9020,B,3.Substantial,Satisfactory,AAN,INT
Q1 2020,2020,NI-G9022,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,NI-G9029,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,NI-L9033,B13,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,NI-L9080,B13,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,NI-L9082,B,3.Substantial,Partially Satisfactory,AAN,SCL
Q1 2020,2020,NI-L9083,B,3.Substantial,Partially Satisfactory,AAN,INT
Q1 2020,2020,NI-L9087,A,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,NI-L9090,B,2.Moderate,{Not Set},AAN,IFD
Q1 2020,2020,NI-L9092,B,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,NI-L9094,A,3.Substantial,Satisfactory,AAN,INE
Q1 2020,2020,NI-L9095,B,2.Moderate,Satisfactory,AAN,SCL
Q1 2020,2020,NI-L9097,A,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,NI-L9099,B,4.High,Partially Satisfactory,AAN,INE
Q1 2020,2020,NI-L9943,B,4.High,Partially Unsatisfactory,AAN,SCL
Q1 2020,2020,NI-L9945,B,2.Moderate,{Not Set},AAN,INE
Q1 2020,2020,OC-G9002,C,1.Low,{Not Set},NAC,CSD
Q1 2020,2020,OC-G9003,C,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9026,C,2.Moderate,Partially Satisfactory,NAC,CSD
Q1 2020,2020,OC-L9039,B13,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9067,B,2.Moderate,Partially Satisfactory,NAC,CSD
Q1 2020,2020,OC-L9068,B,2.Moderate,{Not Set},NAC,CSD
Q1 2020,2020,OC-L9079,B,3.Substantial,Satisfactory,NAC,CSD
Q1 2020,2020,OC-L9079B,B,1.Low,Satisfactory,NAC,INE
Q1 2020,2020,OC-L9084,B,3.Substantial,Partially Satisfactory,NAC,INE
Q1 2020,2020,OC-L9243,B13,2.Moderate,{Not Set},NAC,CSD
Q1 2020,2020,OC-L9247,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9248,B13,2.Moderate,Partially Satisfactory,NAC,IFD
Q1 2020,2020,OC-L9249,B13,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9252,B13,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9254,C,2.Moderate,{Not Set},NAC,SCL
Q1 2020,2020,OC-L9255,B,2.Moderate,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9257,B,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9258,B,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9259,C,1.Low,{Not Set},NAC,INT
Q1 2020,2020,OC-L9260,B,3.Substantial,Partially Satisfactory,NAC,CSD
Q1 2020,2020,OC-L9266,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9267,B,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9272,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9273,B,3.Substantial,Satisfactory,NAC,INE
Q1 2020,2020,OC-L9274,B,2.Moderate,{Not Set},NAC,INE
Q1 2020,2020,OC-L9279,B,3.Substantial,Partially Satisfactory,NAC,INE
Q1 2020,2020,OC-L9280,B13,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9282,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9285,B13,3.Substantial,Partially Satisfactory,NAC,IFD
Q1 2020,2020,OC-L9288,B,4.High,{Not Set},NAC,CSD
Q1 2020,2020,OC-L9289,B13,4.High,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9292,C,1.Low,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9293,B,3.Substantial,Satisfactory,NAC,INE
Q1 2020,2020,OC-L9295,B,3.Substantial,Satisfactory,NAC,INE
Q1 2020,2020,OC-L9302,C,1.Low,{Not Set},NAC,SCL
Q1 2020,2020,OC-L9306,B,3.Substantial,Satisfactory,NAC,CSD
Q1 2020,2020,OC-L9307,B,3.Substantial,Satisfactory,NAC,INE
Q1 2020,2020,OC-L9309,C,1.Low,{Not Set},NAC,SCL
Q1 2020,2020,OC-L9390,C,2.Moderate,{Not Set},NAC,IFD
Q1 2020,2020,OC-L9392,B13,1.Low,{Not Set},NAC,SCL
Q1 2020,2020,OC-L9906,B,4.High,Partially Satisfactory,NAC,INE
Q1 2020,2020,OC-L9909,B,2.Moderate,{Not Set},NAC,CSD
Q1 2020,2020,OC-L9929,A,3.Substantial,Partially Satisfactory,NAC,INE
Q1 2020,2020,OC-L9933,B,3.Substantial,Partially Unsatisfactory,NAC,INE
